dt_venda,sk_produto,sk_vendedor,nr_qtd,nrd_valor_total,nrd_custo_venda,sk_date
2023-02-10,86,19,4,27.783599378444627,14.02199672664722,20230210
2023-06-09,62,17,5,184.4246976588312,81.50573976364464,20230609
2023-01-25,54,1,6,210.86056502089764,121.97771183167929,20230125
2023-02-27,4,10,4,134.21928558813585,80.17660721409483,20230227
2023-03-02,36,9,6,53.37696864726362,26.236493055851284,20230302
2023-04-16,11,11,8,151.2341292064126,89.50594591862794,20230416
2023-01-03,60,10,10,125.12798059390616,73.068724799495,20230103
2023-03-19,43,1,4,194.2210016350328,104.26727566383444,20230319
2023-01-10,59,16,4,72.42786666489945,40.179652666490135,20230110
2023-01-20,31,20,9,419.9050261843147,251.5372334122644,20230120
2023-01-02,78,19,7,330.4561384728447,144.85090104044303,20230102
2023-01-29,45,19,7,101.16881269807112,47.87418873433958,20230129
2023-02-23,58,1,3,57.31558842487013,32.82350618202502,20230223
2023-01-15,82,3,2,67.37312118027978,31.68111324179332,20230115
2023-06-12,31,15,5,124.47323690004914,70.45773469097422,20230612
2023-06-22,13,8,10,371.3896889818132,218.4041992713069,20230622
2023-03-22,65,17,9,331.1764893363717,183.92892390271527,20230322
2023-04-12,70,1,9,45.02912633609127,25.06775494977493,20230412
2023-03-07,46,19,8,124.53488587091653,72.191709005498,20230307
2023-01-28,91,12,7,93.6841635415275,37.91229826486773,20230128
2023-05-03,84,16,9,121.5081764388908,69.17432190316863,20230503
2023-07-04,38,14,4,184.62036240564876,94.7538493658498,20230704
2023-01-28,16,8,4,140.0490566017084,74.06573839341468,20230128
2023-04-30,59,18,7,64.88623457763146,30.227175119938657,20230430
2023-02-28,77,12,1,44.65829557591721,21.59616859475357,20230228
2023-02-16,87,15,8,65.1176580278393,36.969471877239855,20230216
2023-06-29,90,4,4,49.58045028470954,22.111788729541157,20230629
2023-01-07,43,7,3,58.10268812902451,31.188345705928597,20230107
2023-04-10,61,17,10,184.93179976191684,84.40528288500705,20230410
2023-03-22,79,8,2,38.79221389362209,21.59860735784968,20230322
2023-07-08,28,6,10,203.46132486433328,116.81731213092434,20230708
2023-03-01,30,2,9,440.7608664900123,197.6371576166418,20230301
2023-01-26,33,19,5,157.02882934351538,88.28028576206326,20230126
2023-02-06,34,10,5,230.8822990054709,131.06840998050663,20230206
2023-08-08,63,9,10,241.08573283252565,114.3746851130768,20230808
2023-01-07,11,20,2,33.62197382593807,17.917165339962455,20230107
2023-02-05,13,19,2,88.2617629088819,45.93637429287527,20230205
2023-08-07,17,18,6,207.28040515100577,121.19022785548955,20230807
2023-06-12,95,9,7,64.59789929668226,36.15158967470112,20230612
2023-03-30,4,15,4,192.35881330869023,106.15314547620866,20230330
2023-06-21,89,15,10,354.23576941686264,163.24142538621393,20230621
2023-05-06,52,19,6,185.52455535045408,90.88960222157029,20230506
2023-07-19,72,7,1,7.316919018426369,3.846371991942106,20230719
2023-01-07,32,5,3,144.6411138491559,68.00774273390424,20230107
2023-08-10,37,17,8,205.6865422235234,106.24286424751476,20230810
2023-06-16,33,15,9,419.9620163730279,236.30418705104267,20230616
2023-03-24,82,4,3,55.47070773918946,26.69157977162353,20230324
2023-08-03,27,15,1,42.72341118465891,23.88323860811408,20230803
2023-01-17,41,9,5,180.67596346658257,75.38878710294235,20230117
2023-03-24,75,14,6,231.33429344994403,95.80104407497603,20230324
2023-05-25,7,9,1,10.256130217653162,5.734972235944452,20230525
2023-06-15,96,1,4,184.85610235620595,108.6758745267778,20230615
2023-05-14,13,13,1,33.69511762367566,17.012795924168017,20230514
2023-06-17,37,12,6,188.12818285452403,83.80640870999314,20230617
2023-01-08,83,7,2,49.53884316072728,29.21014847015235,20230108
2023-01-31,18,1,3,49.3207826538774,22.6498718761662,20230131
2023-01-14,34,3,10,80.02409947520542,47.02404347218079,20230114
2023-06-25,92,4,5,50.01788722199333,20.438821717597573,20230625
2023-07-27,72,6,8,216.63904711380647,95.6862911965296,20230727
2023-02-01,9,13,7,261.9213802544418,152.79538436586384,20230201
2023-01-29,14,9,6,56.47244184122866,30.449035473587543,20230129
2023-01-05,25,20,1,24.41446843222501,13.413270089568847,20230105
2023-04-04,27,18,7,133.57606945729668,67.78060605047173,20230404
2023-08-03,25,12,6,232.52171918017024,109.53105899767394,20230803
2023-08-05,65,14,7,156.0182272679376,78.79497566207299,20230805
2023-01-11,62,2,8,236.6606732708916,138.28826387958543,20230111
2023-06-24,79,13,4,172.17915383091432,81.57361238511514,20230624
2023-05-25,70,4,7,198.8102266476641,114.83787143486782,20230525
2023-05-05,67,12,4,91.26840523090098,50.597970889741696,20230505
2023-03-09,70,4,8,211.59375160851243,104.1689758431524,20230309
2023-07-05,59,19,9,371.5837767446167,170.33723304283117,20230705
2023-02-25,48,4,6,149.25487683920898,73.05381585375123,20230225
2023-02-19,27,5,6,68.95308919274845,39.89141286891138,20230219
2023-02-18,41,5,3,94.22742692756204,47.44483598658163,20230218
2023-01-28,67,16,8,141.46894156683618,76.30226741085463,20230128
2023-07-16,22,12,7,156.5122773837219,74.5455306773181,20230716
2023-05-24,54,8,10,413.0700492224333,243.9952921125082,20230524
2023-08-15,98,9,6,161.8098564792955,93.22980147973952,20230815
2023-03-23,54,10,1,33.496889332178995,15.448954940783093,20230323
2023-05-04,93,11,5,38.31641839751392,19.043221922867776,20230504
2023-07-10,89,5,1,36.598334068239325,19.201821983678457,20230710
2023-05-06,51,9,6,109.81310052192852,49.833761322627474,20230506
2023-04-16,13,2,9,140.30860207282677,57.25019888241189,20230416
2023-06-26,87,18,7,266.0365186285591,137.9518759330035,20230626
2023-03-13,3,17,10,325.216607967727,162.04352806728463,20230313
2023-05-29,96,17,8,72.3338216264479,38.88973344624617,20230529
2023-02-07,55,19,4,73.99111329387048,39.24428434120438,20230207
2023-05-04,10,20,10,476.27261444492655,246.00687255360583,20230504
2023-06-20,81,5,1,43.07583653332564,23.4242041039495,20230620
2023-03-06,99,19,8,265.95945970692725,137.26475129427675,20230306
2023-05-08,52,20,7,103.8334350744671,44.66083379705558,20230508
2023-04-25,84,2,6,114.75644587878575,58.4123917487837,20230425
2023-08-12,35,14,8,372.1573889646551,172.8535241363352,20230812
2023-03-29,60,6,10,404.02383535522586,198.0555986935936,20230329
2023-03-20,97,14,8,312.22984471489605,142.83734346093223,20230320
2023-08-10,56,15,4,174.30668044794623,84.69110504249753,20230810
2023-03-01,99,8,10,118.61080633036256,51.46873784159404,20230301
2023-06-27,100,4,7,235.0121058804013,103.30366283377435,20230627
2023-01-26,17,11,9,227.90500799082983,135.1225883220198,20230126
2023-01-29,57,20,4,170.39206649160997,93.7733849529423,20230129
2023-05-25,3,14,6,272.4168295728514,115.99518827446369,20230525
2023-06-26,99,7,5,96.0520907669772,47.89922247142052,20230626
2023-06-28,24,13,10,239.0267628044607,121.8570303486214,20230628
2023-01-19,17,14,9,261.6456738619138,130.42305478766048,20230119
2023-04-20,19,13,9,222.30039136320875,107.49597653595224,20230420
2023-05-05,32,14,10,369.6559594224509,187.96414820504688,20230505
2023-02-28,94,16,10,473.01090814645966,260.28138271204125,20230228
2023-03-17,40,2,8,261.8037190468337,104.93469235820388,20230317
2023-06-03,36,20,5,222.7661637501372,120.24131146604462,20230603
2023-01-26,62,6,5,25.452729030475503,12.772455963386612,20230126
2023-02-19,71,5,3,137.53506443920412,66.11324008693829,20230219
2023-03-15,60,9,1,6.618795399843682,3.37337672155664,20230315
2023-04-15,82,9,3,131.64107828894356,65.4267021577324,20230415
2023-02-03,100,20,10,293.5716613367331,143.362250730786,20230203
2023-04-20,15,15,10,377.882830792604,159.06887777318957,20230420
2023-05-22,23,9,10,470.1190285751897,268.87465757929573,20230522
2023-03-06,28,10,1,16.392319756844298,7.622657468695017,20230306
2023-06-06,72,7,10,262.6241960178548,106.72050995932436,20230606
2023-08-16,40,1,10,325.1087301970796,169.0715075678893,20230816
2023-04-18,96,6,4,94.7879262939704,53.951226914352354,20230418
2023-02-13,97,16,2,69.95715862672546,37.39401983038948,20230213
2023-05-25,13,14,1,43.022251527538295,24.65365731593381,20230525
2023-03-19,22,9,1,13.91288333745897,6.3924295166255485,20230319
2023-01-02,20,3,1,12.209113998088675,6.562190560988013,20230102
2023-03-13,45,13,2,45.641092506751576,21.990523451075983,20230313
2023-02-27,65,13,8,130.6718314889714,52.85746567160683,20230227
2023-01-26,30,9,10,394.4635694948119,166.96762335726788,20230126
2023-05-02,69,6,3,96.8038139493422,38.96856529884359,20230502
2023-08-08,54,13,10,286.8005771271902,136.87109903963454,20230808
2023-05-16,45,2,10,281.52690967298435,124.68018832539028,20230516
2023-02-26,86,19,7,179.92560244641345,80.81206731783028,20230226
2023-05-05,57,10,7,134.2887451162863,58.576379893956144,20230505
2023-03-14,99,13,10,103.69628851701268,53.19648862302804,20230314
2023-05-31,34,8,6,63.61599619421847,26.73801127852878,20230531
2023-04-21,42,12,6,215.551354867616,128.26845891572836,20230421
2023-01-30,9,20,8,179.18387541297622,73.90514267710263,20230130
2023-05-10,58,15,8,289.54400038313025,128.05421691656898,20230510
2023-06-28,95,1,8,375.983209835504,160.91560970974294,20230628
2023-08-16,62,4,6,95.35676103835374,43.07847096393372,20230816
2023-08-03,47,7,4,86.37703829683937,50.771549838166166,20230803
2023-06-30,89,16,7,198.1574176024581,102.63722454110346,20230630
2023-05-30,71,5,3,73.9031252575813,42.03835579043301,20230530
2023-06-24,66,11,7,222.23734531061183,101.72560281975404,20230624
2023-05-20,44,6,3,19.63247847389541,11.071062965314804,20230520
2023-01-09,42,10,4,68.91817559294986,31.84311262552101,20230109
2023-02-22,20,1,5,78.22372623722057,35.51849887151642,20230222
2023-05-04,1,18,1,45.86500251664173,25.097768250768887,20230504
2023-02-07,37,10,1,27.15861929359632,11.838757764778345,20230207
2023-02-24,100,15,5,103.19228148739792,42.609197204209416,20230224
2023-04-28,97,15,10,273.70086117054063,147.0416986718977,20230428
2023-05-16,71,15,8,367.6264972220716,215.28602575073248,20230516
2023-06-26,29,9,6,40.920694685878445,20.306487843422463,20230626
2023-04-07,60,5,3,17.253582257944185,9.569327956638652,20230407
2023-01-20,98,14,6,266.617397950637,131.41198753615438,20230120
2023-01-12,88,2,1,10.05712992228526,5.578616790822568,20230112
2023-02-09,35,17,1,46.16376475547096,25.652815787974028,20230209
2023-06-08,28,16,7,148.40598314665016,63.95465330880954,20230608
2023-05-24,70,5,7,144.40336883599218,68.88092986814556,20230524
2023-04-14,37,20,8,285.7567553062514,123.47368448620044,20230414
2023-07-14,54,20,4,66.14772561086272,38.04762536314652,20230714
2023-07-18,98,10,10,317.64335594303407,188.98605347950985,20230718
2023-04-02,82,16,4,69.93870409116417,31.262292115820685,20230402
2023-05-08,71,17,10,362.22368320070825,157.15745949855713,20230508
2023-04-16,75,7,1,42.94965249280479,22.21047841771808,20230416
2023-03-13,65,17,4,181.67893264757095,76.55141330645527,20230313
2023-06-17,10,15,6,284.15523817537803,128.42324596368047,20230617
2023-04-20,51,20,5,224.2170387740867,126.94405408305288,20230420
2023-02-02,100,14,3,58.26906536148347,26.573720293738564,20230202
2023-06-01,90,18,10,276.1919012258089,117.68262224568794,20230601
2023-07-10,40,20,10,241.07759668954512,113.83388718474596,20230710
2023-06-30,99,20,10,266.2107972323979,149.46519765739004,20230630
2023-06-20,96,15,7,165.0393989221247,90.049883584581,20230620
2023-04-29,67,16,8,234.49721531078748,110.26881534677224,20230429
2023-07-05,11,9,1,30.19298855325564,12.817201239899644,20230705
2023-07-22,31,6,4,29.880379518051285,14.322604085649964,20230722
2023-05-28,74,20,5,187.1628733703455,81.03212421142143,20230528
